GEOID20,POP20
500059579002129,3
500059579002131,0
500059579002132,0
500059579002133,0
500059579002134,0
500059579002135,0
500059579002136,0
500059579002137,19
500059579002138,17
500059579002139,7
500059579002140,0
500059579002040,0
500059579002041,12
500059579002042,39
500059579002043,0
500059579002044,0
500059579002045,17
500059579002046,17
500059579002047,0
500059579002048,0
500059579002049,12
500059579002050,0
500059579002051,2
500059579002052,0
500059579002053,0
500059579002054,0
500059579002055,0
500059579002056,0
500059579002058,7
500059579002059,0
500059579002061,0
500059579002064,0
500059579002065,0
500059579002067,18
500059579002068,5
500059579002069,0
500059579002071,0
500059579002072,0
500059579002074,0
500059579002075,0
500059579002141,3
500059579003000,7
500059579003001,0
500059579003002,0
500059579003003,2
500059579003005,29
500059579003006,6
500059579003008,0
500059579003009,6
500059579003011,7
500059579003012,1
500059579003013,1
500059579003015,6
500059579003016,27
500059579003018,30
500059579003019,9
500059579003021,13
500059579003022,19
500059579003024,2
500059579003025,24
